place,lat,lon
Arlington, 42.4154, -71.1565
Boston, 42.3188, -71.0846
Barrington, 42.1960, -73.3620
Boston, 42.3188, -71.0846
Braintree, 42.2079, -71.0040
Brookline, 42.3318, -71.1212
Cambridge, 42.3736, -71.1097
Cape Cod, 41.6688, -70.2962
Charlestown, 42.3782, -71.0602
Chilmark, 41.3432, -70.7448
Dorchester, 42.3016, -71.0676
Dover, 43.1979, -70.8737
East Falmouth, 41.5784, -70.5586
Framingham, 42.2793, -71.4162
Gloucester, 42.6159, -70.6620
Greenfield, 42.5879, -72.5994
Holliston, 42.2001, -71.4245
Jamaica Plain, 42.3097, -71.1151
Lenox, 42.3565, -73.2849
Loudon, 43.2856, -71.4673
Lowell, 42.6334, -71.3162
Lynn, 42.4668, -70.9495
Mashpee, 41.6479, -70.4820
Melrose, 42.4584, -71.0662
Millis, 42.1670, -71.3517
Montague, 42.5355, -72.5353
Needham, 42.2809, -71.2378
Newton, 42.3370, -71.2092
North Oxford, 45.1001, -70.9697
Peabody, 42.5279, -70.9287
Phillipston, 42.5487, -72.1329
Rehoboth, 41.8470, -71.2394
Rockport, 44.1845, -69.0761
Rockport, 42.6557, -70.6204
Roslindale, 42.2832, -71.1270
Roxbury, 42.3152, -71.0914
Rutland, 43.6106, -72.9726
Somerville, 42.3876, -71.0995
Springfield, 42.1015, -72.5898
Sudbury, 42.3834, -71.4162
Sunderland, 42.4664, -72.5795
Waitsfield, 44.1926, -72.7798
Waltham, 42.3765, -71.2356
Ware, 42.2598, -72.2399
Wayland, 42.3626, -71.3614
Wellesley, 42.2968, -71.2924
Wenham, 42.6043, -70.8912
Westwood, 42.2140, -71.2245
White River Junction, 43.6490, -72.3193
Woburn, 42.4793, -71.1523
Worcester, 42.2626, -71.8023
Yarmouth Port, 41.7088, -70.2134
